claim_id,exact_claim,evidence_level,our_result_or_external,source,doi,pmid,fda_number,dataset,experiment_id,exact_location,verified,verification_date,allowed_in_paper,allowed_in_proposal,allowed_in_slides,caveat
C001,"The anchor lumbar dataset contains imaging from 63 healthy volunteers (39 female, 24 male), aged 20-35 (mean 25), BMI 19-26 (mean 22).",E2,external,Scientific Data publication full text,10.1038/s41597-025-06047-9,41213998,,DS001,,"Subjects section, verified in PMC12603223",yes,2026-09-11,yes,yes,yes,Healthy young volunteers only. This is close to the inverse of the difficult-LP population.
C002,223 handheld and 375 robot-assisted ultrasound scans were completed.,E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Data Records / US acquisition section,yes,2026-09-11,yes,yes,yes,The count difference arises because Perpendicular RUS scans were repeated three times each.
C003,"6,091 ultrasound frames are expert-annotated: 2,353 handheld and 3,738 robotic.",E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Data Annotation and Labeling section,yes,2026-09-11,yes,yes,yes,Must always be stated together with C004.
C004,"Those 6,091 annotated frames come from only NINE subjects: seven with both HUS and RUS annotated, two with RUS only.",E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Data Annotation and Labeling section,yes,2026-09-11,yes,yes,yes,"CRITICAL. Never quote 6,091 frames or 63 subjects as the size of the supervised learning problem."
C005,"The ultrasound annotation was performed by a single physician, who was also the person who acquired the handheld images.",E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,"Data Annotation and Labeling section, annotator identified as N.A.C.",yes,2026-09-11,yes,yes,yes,No inter-rater agreement exists for this dataset. Annotation reliability for lumbar ultrasound is unmeasured.
C006,The annotation label space is a single class: bone surface.,E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Data Annotation and Labeling section,yes,2026-09-11,yes,yes,yes,"Bone surface is visible anatomy. It is NOT a puncture target, window, or trajectory."
C007,"Imaging was acquired with volunteers PRONE, using a 10 MHz SuperLinear SL10-2 LINEAR transducer at 7.7 cm depth.",E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Handheld Ultrasound Scans section,yes,2026-09-11,yes,yes,yes,"Lumbar puncture is performed sitting or in lateral decubitus, with a low-frequency curvilinear probe. Protocols are not interchangeable."
C008,"The robotic platform regulated contact force to 5 N, with a 20 N maximum and 4 mm/s maximum scanning velocity; robotic scans took approximately 3.56 minutes.",E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Technical Validation / Robotic platform section,yes,2026-09-11,yes,yes,yes,"This is the KU Leuven group's hardware, not ours."
C009,Scan-path area ratio was consistently >=85% for handheld scans but ranged 54-100% for robotic scans.,E2,external,same publication,10.1038/s41597-025-06047-9,41213998,,DS001,,Technical Validation / Spatial tracking section,yes,2026-09-11,yes,yes,yes,"Robotic coverage was MORE variable than handheld. Do not claim robotic acquisition is more consistent - that is the open question, not an established fact."
C010,"The complete anchor deposit is 1,346 files totalling 1,006,213,593,498 bytes (approximately 1.01 TB), licensed CC-BY-4.0.",E2,external,DataCite metadata record,10.48804/3XPCAE,,,DS001,,DataCite API sizes/formats/rightsList fields,yes,2026-09-11,yes,yes,yes,Size computed by summing the DataCite per-file size list.
C011,"The entire kuleuven.be domain was unreachable at TCP level from the project network, on ports 80 and 443, by hostname and by direct IP, while zenodo.org, figshare.com, data.mendeley.com, osf.io, physionet.org and huggingface.co all responded normally.",E1,ours,direct connectivity measurement,,,,DS001,,research/datasets/KULEUVEN_ACCESS_BLOCKER.md,yes,2026-09-11,yes,yes,yes,Conclusion that this is a network-path block rather than a server outage is E5 inference from these E1 measurements.
C012,"A survey of 891 unique candidate records across six repository APIs found only 2 Tier-0 ultrasound datasets, and neither contains real human transcutaneous lumbar ultrasound.",E1,ours,programmatic repository survey,,,,,,research/datasets/DATASET_DISCOVERY_LOG.md; data/registry/DISCOVERY_CANDIDATES.csv,yes,2026-09-11,yes,yes,yes,"Statement about THIS search, with these queries, from this network, on this date. Strong evidence of scarcity; not proof of non-existence. Repository-API-indexed material only."
C013,"No public dataset located in this survey records any procedural target: no entry point, no needle trajectory, no target depth, and no procedure outcome.",E1,ours,same survey plus per-dataset inspection,,,,,,research/datasets/PUBLIC_ULTRASOUND_DATA_LAKE_REPORT.md Q6,yes,2026-09-11,yes,yes,yes,Same scope caveat as C012. This is the central justification for clinical collaboration.
C014,"All ten class pixel counts and image counts of the JHU segmentation release were independently reproduced from the distributed masks, matching the publication's Table 1 exactly (relative error 0.0000); only 13 stray anti-aliased pixels out of 1.94 billion fall outside the palette.",E1,ours,exhaustive recomputation over all 10223 masks,,41006445,,DS004,exp002_class_distribution,experiments/exp002_class_distribution/metrics.json,yes,2026-09-11,yes,yes,yes,"Exhaustive count, not a sample."
C015,The palette-index-to-class mapping of the JHU release is not documented in the release; it was recovered empirically by matching per-index pixel totals to the publication's Table 1.,E1,ours,same experiment,,41006445,,DS004,exp002_class_distribution,src/lumbar_markany/data_jhu.py,yes,2026-09-11,yes,yes,yes,Without this mapping the dataset decodes to the wrong classes silently.
C016,"The official JHU train/val/test splits are sweep-disjoint: within-sweep adjacent frames score cosine 0.990 (median), while no held-out image exceeds 0.890 against any training image, and zero held-out images reach the within-sweep 5th percentile of 0.911.",E1,ours,filename-independent near-duplicate audit,,41006445,,DS004,exp001_leakage_audit,experiments/exp001_leakage_audit/metrics.json,yes,2026-09-11,yes,yes,yes,"NEGATIVE RESULT - our leakage hypothesis was disproved. Sweep-disjointness does not establish animal-disjointness, which remains unverifiable."
C017,"For 5,756 of 10,223 images (56.3%) in the JHU segmentation release, the filenames carry no subject or grouping token, so animal-level splitting cannot be reconstructed from the public release.",E1,ours,parsing of all distributed filenames,,41006445,,DS004,exp001_leakage_audit,experiments/exp001_leakage_audit/metrics.json,yes,2026-09-11,yes,yes,yes,"The publication attributes these images to 23 (detection) / 25 (segmentation) animals, but no per-image animal ID is distributed."
C018,"The JHU injury-localization release contains exactly 2,245 PNG images: 877 pre-injury images containing zero bounding boxes and 1,368 post-injury images containing exactly one box each - matching the publication's stated 877/1,368 split.",E1,ours,parsing of all 2245 PNG and 2246 XML files,,41006445,,DS005,,scripts/data/download_jhu_spinal.py verification output,yes,2026-09-11,yes,yes,yes,
C019,Neither the JHU GitHub repository nor the distributed archives declare any licence.,E1,ours,direct inspection of repository metadata and archive contents,,41006445,,DS004/DS005,,research/datasets/DATASET_REGISTRY.csv,yes,2026-09-11,yes,yes,yes,Absence of a licence is not permission. This project does not redistribute these pixels.
C020,"Rivanna Medical holds seven FDA 510(k) clearances in the Accuro family: K132736 (2014-03-11), K171594 (2017-10-20), K243937 (2025-05-23), K254021 (2026-04-09), K253452 (2026-07-24), and needle guide kits K250469 (2025-06-13) and K261014 (2026-07-24).",E4,external,openFDA 510(k) API,,,K171594,,,research/competitors/COMPETITOR_MATRIX.csv,yes,2026-09-11,yes,yes,yes,Clearance is not evidence of clinical effectiveness.
C021,"Product code IYO is 'System, Imaging, Pulsed Echo, Ultrasonic', Class II, 21 CFR 892.1560; product code ITX is 'Transducer, Ultrasonic, Diagnostic', Class II, 21 CFR 892.1570.",E4,external,openFDA device classification API,,,,,,research/competitors/COMPETITOR_MATRIX.csv,yes,2026-09-11,yes,yes,yes,The Accuro family is cleared as Class II ultrasound imaging equipment - NOT as a robotic or autonomous device.
C022,"The published JHU benchmarks report YOLOv8 mAP50-95 of 0.606 for injury localisation, DeepLabv3 mean Dice 0.587 on porcine anatomy, and SAMed mean Dice 0.445 generalising zero-shot to human images.",E3,external,publication full text,,41006445,,DS004/DS005,,PMC12475011,yes,2026-09-11,yes,yes,yes,Our exp003 figures are NOT directly comparable: the averaging convention differs and we did not reproduce their protocol.
C023,"The three human subjects in the Masoumi US/CT release have CT and CT-SIMULATED ultrasound only; real ultrasound exists solely for two ex-vivo animal phantoms (canine, lamb).",E1,ours,direct inspection of the downloaded archive contents,10.5281/zenodo.4813508,,,DS002,,research/datasets/DATASET_REGISTRY.csv,yes,2026-09-11,yes,yes,yes,Cannot be cited as evidence about real human lumbar ultrasound.
C024,"The UltraBones100k dataset is approximately 100,000 ex-vivo human LOWER-LIMB ultrasound images with algorithmically generated, physics-refined bone labels.",E3,external,arXiv 2502.03783v4 abstract and Crossref record,10.1016/j.compbiomed.2025.110435,,,DS003,,research/datasets/DATASET_REGISTRY.csv,yes,2026-09-11,yes,yes,yes,"Lower limb, not spine. Ex-vivo. Public availability was NOT confirmed - do not describe it as a public dataset."
C025,Our segmentation baseline achieves the test Dice reported in RESULTS_LEDGER.csv on porcine intraoperative post-laminectomy spinal-cord ultrasound.,E1,ours,executed training run,,,,DS004,exp003_unet_baseline,experiments/exp003_unet_baseline/metrics.json,yes,2026-09-11,yes,yes,yes,"MUST always be stated with species, approach and the fact that it is pipeline validation. Never described as a lumbar or human result."
C026,Automated detection of lumbar anatomy and automatic lumbar level identification in ultrasound have been published since at least 2008-2010.,E3,external,literature database,,,,,,research/literature/LITERATURE_DATABASE.csv,yes,2026-09-11,yes,yes,yes,Implication: another landmark detector is not a novel contribution.
C027,"No hardware has been built, purchased, or specified beyond a paper concept, and no safety case exists.",E1,ours,statement of project status,,,,,,research/system/SYSTEM_ARCHITECTURE_AND_AUTONOMY.md,yes,2026-09-11,yes,yes,yes,Must accompany every architecture or robotics visual.
