entity,product_or_system,direct_or_adjacent,commercial_or_research,country,year,use_case,ultrasound,ai,anatomical_detection,level_identification,depth_prediction,access_window_recommendation,3d_reconstruction,robotic_scanning,probe_force_control,physical_needle_guide,needle_tracking,autonomous_needle_movement,clinician_control,regulatory_status,evidence,patients_or_phantoms,strongest_feature,limitation,opportunity_for_us,source,evidence_level
Rivanna Medical Inc.,Accuro (K171594),direct,commercial,USA,2017,Pre-procedural neuraxial landmark identification for spinal/epidural access,yes (handheld pocket-sized),yes (vendor-described automated bone/midline detection),yes,claimed,yes (depth-to-epidural readout),indicated via overlay,limited (vendor-described 3D scan),no,no,yes (separate guide kit),no,no,full - clinician performs all imaging and needle placement,"FDA 510(k) K171594 cleared 2017-10-20, product code IYO (System Imaging Pulsed Echo Ultrasonic), Class II, 21 CFR 892.1560",vendor clinical literature and independent trials; not audited in this project,not verified here,Only cleared handheld device purpose-built for neuraxial landmark identification; genuine market validation of the clinical need,Handheld - reproducibility still depends on operator; no robotic acquisition; no force control; no needle tracking,"Robot-held acquisition removes the operator-variability term that a handheld device cannot address; our contribution is acquisition standardisation, not landmark detection per se",openFDA 510(k) API,E4
Rivanna Medical Inc.,Accuro 3S (K243937),direct,commercial,USA,2025,Neuraxial guidance - next-generation platform,yes,yes (vendor-described),yes,claimed,yes,indicated,vendor-described,no,no,yes (Accuro 3S Needle Guide Kit),no,no,full,"FDA 510(k) K243937 cleared 2025-05-23, product code IYO, Class II",not audited in this project,not verified here,Active product line iteration - the incumbent is investing,As above,Confirms the segment is commercially live; differentiation must be acquisition + workflow rather than a better landmark classifier,openFDA 510(k) API,E4
Rivanna Medical Inc.,Accuro 3S (K253452),direct,commercial,USA,2026,Neuraxial guidance,yes,yes,yes,claimed,yes,indicated,vendor-described,no,no,yes,no,no,full,"FDA 510(k) K253452 cleared 2026-07-24, product code IYO, Class II",not audited,not verified here,Most recent clearance in the family,As above,Shows regulatory cadence of roughly annual iteration,openFDA 510(k) API,E4
Rivanna Medical Inc.,Accuro XV (K254021),direct,commercial,USA,2026,Ultrasound imaging system (family extension),yes,vendor-described,yes,unknown,unknown,unknown,unknown,no,no,separate,no,no,full,"FDA 510(k) K254021 cleared 2026-04-09, product code IYO, Class II",not audited,not verified here,Platform breadth,Scope of XV not verified in this project,Watch for scope expansion beyond neuraxial,openFDA 510(k) API,E4
Rivanna Medical Inc.,Accuro 3S Needle Guide Kit (K250469 / K261014),direct,commercial,USA,2025/2026,Physical needle guide accessory,n/a (accessory),no,no,no,no,no,no,no,no,yes,no,no,full,"FDA 510(k) K250469 cleared 2025-06-13 and K261014 cleared 2026-07-24, product code ITX (Transducer Ultrasonic Diagnostic), Class II, 21 CFR 892.1570",not audited,not verified here,"Demonstrates that a passive, disposable needle guide is a viable regulatory and commercial object in this segment","Passive alignment only - no active repositioning, no feedback",Direct precedent for the consumable-guide element of Architecture B/D and for a consumable revenue line,openFDA 510(k) API,E4
KU Leuven + Balgrist/Univ. Zurich,Robot-assisted lumbar ultrasound acquisition platform (FAROS project),direct,research,Belgium/Switzerland,2023-2025,Robot-acquired lumbar spine ultrasound with CT ground truth,yes,yes (U-Net bone segmentation + reconstruction),yes (bone surface),not reported,not reported,no,yes (bone surface point clouds + STL),yes,"yes - 5 N target contact force, 20 N maximum, 4 mm/s maximum velocity",no,no,no,robot performs scanning only; no needle involvement,none (research),"63 healthy volunteers, 223 handheld + 375 robotic scans, 6091 annotated frames from 9 subjects",63 healthy volunteers (in vivo),"The only in-vivo human paired handheld/robotic lumbar ultrasound dataset with CT ground truth, released CC-BY",Healthy young volunteers only; prone position; 10 MHz linear probe; bone-surface labels only; no needle and no procedural targets,"Closest prior art to our acquisition concept. They solved robot-acquired lumbar imaging; nobody has connected it to a clinician-authored procedural target layer. That gap is our thesis.",doi:10.1038/s41597-025-06047-9 (PMC12603223),E3
Johns Hopkins University (HEPIUS lab),Spinal cord ultrasound AI benchmark,adjacent,research,USA,2025,Injury localisation and anatomical segmentation on exposed spinal cord,yes,yes (YOLOv8 / DeepLabv3 / SegFormer / U-Net / TransUNet / Swin-UNet / SAMed),yes (10 classes),no,no,no,no,no,no,no,no,no,n/a,none (research),"YOLOv8 mAP50-95 0.606 for injury localisation; DeepLabv3 mean Dice 0.587 on porcine; SAMed mean Dice 0.445 zero-shot on human","25 pigs; 8 human patients (86 images)",Largest annotated spinal cord ultrasound dataset released publicly; rigorous two-stage clinical label review,Intraoperative after laminectomy; porcine; not neuraxial access anatomy; no licence declared on the release,Provides an ultrasound-domain pretraining corpus and a realistic benchmark for cross-species/cross-domain generalisation methodology,PMC12475011 (PMID 41006445),E3
Concordia University (IMPACT/PERFORM),Multimodal US-CT spine registration benchmark,adjacent,research,Canada,2021,CT-to-ultrasound registration validation for image-guided spinal surgery,yes (real US on ex-vivo phantoms only),no,no,no,no,no,yes (3D volumes),no,no,no,no,no,n/a,none (research),21 landmark pairs per phantom with fiducial silver-standard registration,"3 human subjects (CT + simulated US only), 2 ex-vivo animal phantoms",Openly licensed (CC-BY-4.0) registration benchmark with landmark ground truth,Human ultrasound is SIMULATED from CT - there is no real human US in the release; phantoms are ex-vivo exposed bone,Useful only as a registration-algorithm testbed; documents how thin the real public spine-US pool is,doi:10.5281/zenodo.4813508,E2
Balgrist/ETH Zurich,UltraBones100k,adjacent,research,Switzerland,2025,Large-scale ultrasound bone-surface segmentation,yes,yes,yes (bone surface),no,no,no,no,no,no,no,no,no,n/a,none (research),"~100k ex-vivo human lower-limb ultrasound images with algorithmically generated, physics-refined bone labels",ex-vivo human cadaveric lower limb,Demonstrates automated CT-derived labelling at a scale manual annotation cannot reach - directly relevant to our annotation-cost problem,Lower limb not spine; ex-vivo; labels are algorithmic not expert; public availability NOT confirmed,"The automated-labelling methodology is the transferable idea: if CT-registered auto-labelling works for limbs, it is the obvious route to scaling lumbar labels beyond what clinicians can hand-draw",arXiv:2502.03783v4 / doi:10.1016/j.compbiomed.2025.110435,E3
Academic (multiple groups),Automatic lumbar level identification and landmark detection in ultrasound,direct,research,multiple,2008-2022,Automated identification of lumbar level and vertebral landmarks,yes,yes (classical phase-based features through to CNNs),yes,yes,partial,no,partial,no,no,no,no,no,n/a,none,"Representative works: automatic lumbar level identification (2008); automatic lumbar anatomy detection (2010); phase-based bone localisation (2009); spinous process + acoustic shadow segmentation (2016); filter-layer-guided CNN bone segmentation (2019)",human volunteers and patients across studies,"A 15+ year literature already solves much of the perception problem - level ID and landmark detection are not open research questions",Fragmented; mostly single-centre; rarely released data or code; almost never connected to acquisition hardware or to procedural outcome,"Confirms that another landmark detector is NOT a defensible contribution. The unsolved parts are acquisition standardisation, clinician-authored targets, uncertainty and outcome linkage.",research/literature/LITERATURE_DATABASE.csv,E3
