experiment_id,evidence_class,date,objective,dataset,species_and_approach,dataset_version,subjects_total,train_subjects,test_subjects,train_frames,test_frames,split_strategy,model,initialization,preprocessing,augmentation,random_seed,epochs,batch_size,optimizer,learning_rate,hardware,runtime,status,primary_metric,metric_value,secondary_metrics,confidence_interval,artifact,log,notes
exp001_leakage_audit,"SECONDARY METHODOLOGICAL EVIDENCE -- porcine, intraoperative, post-laminectomy. NOT evidence for a human lumbar-puncture product.",2026-09-11,Test whether the official JHU splits contain near-duplicate frames across train/test,DS004 JHU spinal-cord segmentation,"porcine, intraoperative, post-laminectomy spinal cord","Google Drive release, sha256 8842d153...",unknown - no animal identifier is distributed,unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),8668,660,official release split (verified sweep-disjoint in exp001),none - direct pixel similarity,n/a,"greyscale, resize 64x64, z-normalise, unit-length",none,n/a (deterministic),n/a,256 (similarity block size),n/a,n/a,CPU,94.6 s,COMPLETE,fraction of held-out images with a training neighbour at within-sweep similarity,"test 0.0000, val 0.0000 (i.e. zero)","within-sweep adjacent cosine median 0.9905 (p05 0.9112, n=4030); test nearest-neighbour max 0.8901, median 0.5981; val max 0.8110",n/a - exact count over the full split,experiments/exp001_leakage_audit/nearest_neighbours.csv,experiments/exp001_leakage_audit/metrics.json,NEGATIVE RESULT. The leakage hypothesis was not supported: the splits are sweep-disjoint. Animal-level disjointness remains unverifiable because no animal ID is distributed.
exp002_class_distribution,"SECONDARY METHODOLOGICAL EVIDENCE -- porcine, intraoperative, post-laminectomy. NOT evidence for a human lumbar-puncture product.",2026-09-11,"Independently reproduce the published class statistics from the distributed masks, and recover the undocumented palette-to-class mapping",DS004 JHU spinal-cord segmentation,"porcine, intraoperative, post-laminectomy spinal cord",sha256 8842d153...,unknown - no animal identifier is distributed,unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),8668,660,official release split (verified sweep-disjoint in exp001),none - exact pixel accounting,n/a,RGB -> 24-bit packed -> VOC palette index lookup,none,n/a,n/a,n/a,n/a,n/a,CPU,"~7 min over 10,223 masks",COMPLETE,"relative error vs publication Table 1, per class",0.0000 for all 10 classes (worst: Dorsal Space at 0.000000),"image counts matched exactly for all 10 classes; 13 stray anti-aliased pixels outside the palette, out of 1.94e9 total","n/a - exhaustive count, not a sample",experiments/exp002_class_distribution/metrics.json,experiments/exp002_class_distribution_stdout.log,"Recovered mapping: 0 Background, 1 Dura, 2 Pia, 3 CSF, 4 Spinal cord, 5 Dorsal Space, 6 Hematoma, 7 Ventral Space, 8 Dura/Pia complex, 9 Dura/Ventral Complex. Published in src/lumbar_markany/data_jhu.py."
exp003_unet_baseline,"SECONDARY METHODOLOGICAL EVIDENCE -- porcine, intraoperative, post-laminectomy. NOT evidence for a human lumbar-puncture product.",2026-09-11,Baseline 10-class semantic segmentation on the official train/val/test split; validates the full pipeline end to end,"DS004 JHU spinal-cord segmentation (porcine, INTRAOPERATIVE post-laminectomy)","porcine, intraoperative, post-laminectomy spinal cord",sha256 8842d153...,unknown - no animal identifier is distributed,unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),8668,660,official release split (verified sweep-disjoint in exp001),"U-Net, base=32, 7,762,762 parameters",random (from scratch),"greyscale, resize to 144x352, scale to [0,1]; masks nearest-neighbour",horizontal (rostral-caudal) flip p=0.5; gain/brightness jitter p=0.5; Gaussian noise p=0.3,1337,30,8,"AdamW (weight decay 1e-4), cosine annealing",0.0003,NVIDIA GeForce RTX 2060,3182.7 s,COMPLETE,test image-level macro Dice (NaN for classes absent from both prediction and truth),0.7232,"median 0.6967; IQR [0.6316, 0.8061]; SD 0.1159; mean IoU 0.6323; best class Spinal cord 0.9469; worst class Dura/Pia complex 0.2487; best val macro Dice 0.7658 at epoch 21","95% bootstrap CI on mean Dice [0.7142, 0.7321] (2000 resamples over images)",experiments/exp003_unet_baseline/predictions/per_image_metrics.npz,experiments/exp003_unet_baseline/stdout.log,"PORCINE, INTRAOPERATIVE, POST-LAMINECTOMY. Not lumbar, not transcutaneous, not human. Pipeline validation only. NOT directly comparable to the publication's benchmark figures: the averaging convention differs (we score absent classes as NaN rather than 0) and we did not reproduce their protocol. The bootstrap CI resamples IMAGES, which understates uncertainty relative to resampling animals - animals cannot be resampled because no animal ID exists."
exp004_uncertainty_failure,"SECONDARY METHODOLOGICAL EVIDENCE -- porcine, intraoperative, post-laminectomy. NOT evidence for a human lumbar-puncture product.",2026-09-11,"Test whether Monte-Carlo-dropout uncertainty correlates with real segmentation error, whether abstention improves retained performance, and what the worst cases have in common","DS004 JHU spinal-cord segmentation (porcine, INTRAOPERATIVE post-laminectomy)","porcine, intraoperative, post-laminectomy spinal cord",sha256 8842d153...,unknown - no animal identifier is distributed,unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),unknown - the public release distributes no subject identifier for 56.3% of images (see exp001),n/a (inference only),660,official release split (verified sweep-disjoint in exp001),"U-Net from exp003, bottleneck Dropout2d re-enabled at test time (BatchNorm kept in eval)",checkpoint from exp003 epoch 21,as exp003,none,stochastic by design (MC dropout),n/a,8,n/a,n/a,NVIDIA GeForce RTX 2060,10 forward passes over the test split,COMPLETE,Spearman rho between MC-dropout uncertainty and per-image Dice,entropy -0.7306; pass-disagreement -0.7634,"abstaining on the most-uncertain 30% raises retained Dice from 0.7224 to 0.7644 (+0.0420), with declined images at 0.6245; worst decile Dice 0.5444 vs best decile 0.9095; Spearman Dice vs image contrast +0.5424, vs mean intensity +0.4751",not computed - rank correlation over all 660 test images,experiments/exp004_uncertainty_failure/per_image.npz,experiments/exp004_stdout.log,"Both uncertainty measures are strongly negatively correlated with Dice, so the signal tracks real error rather than being decorative. Failures concentrate in DARK, LOW-CONTRAST images (worst decile mean intensity 0.25 vs 0.37; contrast SD 0.21 vs 0.28), consistent with poor acoustic coupling or attenuation. PORCINE, INTRAOPERATIVE data: this validates the MECHANISM. It is not a safety claim and the model is not safety-certified."
exp005_fold0_trainHUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,1750,593,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,52.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5806,subject-mean tolerance-F1(2px) 0.7837; subject-mean IoU 0.4224; subject range 0.5495-0.6117; frame-mean Dice 0.5800; empty-label false-positive rate 0.8974358974358975,"SD across 2 test subjects 0.0311 (n is too small for a meaningful CI; per-subject values: URS08=0.612, URS16=0.549)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_HUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold0_trainHUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on HUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,1750,1278,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,52.1 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.568,subject-mean tolerance-F1(2px) 0.7587; subject-mean IoU 0.4142; subject range 0.5465-0.5850; frame-mean Dice 0.5626; empty-label false-positive rate 0.8260869565217391,"SD across 3 test subjects 0.0161 (n is too small for a meaningful CI; per-subject values: URS08=0.585, URS16=0.572, URS31=0.546)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_HUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold0_trainRUS_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,2453,593,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,79.8 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.61,subject-mean tolerance-F1(2px) 0.7941; subject-mean IoU 0.4570; subject range 0.5841-0.6359; frame-mean Dice 0.6095; empty-label false-positive rate 0.717948717948718,"SD across 2 test subjects 0.0259 (n is too small for a meaningful CI; per-subject values: URS08=0.636, URS16=0.584)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_RUS_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold0_trainRUS_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on RUS, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,2453,1278,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,79.8 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.5972,subject-mean tolerance-F1(2px) 0.7730; subject-mean IoU 0.4475; subject range 0.5642-0.6436; frame-mean Dice 0.5941; empty-label false-positive rate 0.7536231884057971,"SD across 3 test subjects 0.0338 (n is too small for a meaningful CI; per-subject values: URS08=0.564, URS16=0.644, URS31=0.584)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_RUS_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold0_trainBOTH_testHUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out HUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,4203,593,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,24.4 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.6253,subject-mean tolerance-F1(2px) 0.8132; subject-mean IoU 0.4686; subject range 0.6045-0.6462; frame-mean Dice 0.6249; empty-label false-positive rate 0.8461538461538461,"SD across 2 test subjects 0.0209 (n is too small for a meaningful CI; per-subject values: URS08=0.646, URS16=0.604)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_BOTH_HUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
exp005_fold0_trainBOTH_testRUS,PRIMARY -- real human transcutaneous lumbar ultrasound,2026-09-11,"Expert bone-surface segmentation in real human lumbar ultrasound; train on BOTH, evaluate on held-out RUS subjects","KU Leuven / Balgrist lumbar spine ultrasound (doi:10.48804/3XPCAE, CC-BY-4.0)","HUMAN, in-vivo, transcutaneous lumbar; healthy volunteers aged 20-35 BMI 19-26, PRONE, 10 MHz LINEAR probe","US/US_labels, 18 archives, MD5-verified",9,URS26|URS36|URS40|URS45|URS51|URS54,URS08|URS16|URS31,4203,1278,"3-fold grouped CV, SUBJECT-DISJOINT; stats aggregated per subject first",U-Net base=16 (320x160),random (from scratch),"cropped to live ultrasound sector 810x430, resized; masks max-pooled so a 1-2 px contour survives",LR flip p=0.5; gain/brightness jitter p=0.5; noise p=0.3,1337,12,32,AdamW + cosine annealing; Dice + pos-weighted BCE,0.0003,NVIDIA GeForce RTX 2060,24.4 s/epoch,COMPLETE,"subject-mean Dice (per-subject means, then averaged)",0.6102,subject-mean tolerance-F1(2px) 0.7845; subject-mean IoU 0.4595; subject range 0.5989-0.6254; frame-mean Dice 0.6094; empty-label false-positive rate 0.7536231884057971,"SD across 3 test subjects 0.0111 (n is too small for a meaningful CI; per-subject values: URS08=0.599, URS16=0.625, URS31=0.606)",experiments/exp005_lumbar_bone_seg/per_frame_fold0_BOTH_RUS.npz,experiments/exp005_lumbar_bone_seg/stdout.log,"Expert-annotated VISIBLE BONE SURFACE, not a puncture target. Dice is harsh on a 1-2 px contour, so tolerance-F1 is reported alongside. Frames the expert left empty are excluded from Dice (undefined) and scored separately."
